Open,High,Low
5.5188,5.5613,5.3909
5.4752,5.5614,5.4639
5.5611,5.5795,5.5142
5.516,5.5511,5.3861
5.5303,5.6094,5.4967
5.5412,5.642,5.5015
5.6117,5.6621,5.5967
5.6535,5.7038,5.6347
5.6742,5.6773,5.6292
5.6549,5.6746,5.6365
5.6598,5.7325,5.6529
5.6953,5.792,5.6744
5.7061,5.7357,5.6958
5.7289,5.7464,5.6903
5.73,5.7707,5.729
5.7572,5.7572,5.6993
5.7068,5.7363,5.6925
5.7133,5.7838,5.7113
5.7857,5.826,5.7841
5.8251,5.8375,5.7774
5.8197,5.8313,5.7617
5.7779,5.7885,5.7242
5.7428,5.7819,5.7149
5.7208,5.7239,5.6049
5.6508,5.6585,5.5823
5.6075,5.6533,5.5709
5.6089,5.6436,5.5825
5.6213,5.6738,5.5782
5.6464,5.663,5.6035
5.6337,5.6388,5.4843
5.495,5.6317,5.4887
5.588,5.6012,5.4813
5.5028,5.5375,5.4376
5.4747,5.5258,5.4414
5.4714,5.4714,5.3644
5.4211,5.4578,5.3931
5.4235,5.4855,5.3889
5.4438,5.464,5.3254
5.3732,5.4232,5.3539
5.3702,5.4651,5.3643
5.4539,5.464,5.3326
5.3377,5.4276,5.3353
5.3623,5.4237,5.3176
5.3397,5.3737,5.2979
5.3534,5.3669,5.3287
5.3502,5.3571,5.2106
5.2779,5.2893,5.2164
5.2186,5.2322,5.1377
5.1815,5.1996,4.9898
5.0229,5.0342,4.8797
4.9103,5.0361,4.7915
4.9822,5.02,4.9115
4.9981,5.0529,4.9724
4.9829,5.0461,4.9349
5.0138,5.0433,4.9548
4.9613,4.9764,4.8737
4.8807,4.9762,4.8045
4.9218,4.9963,4.918
4.9244,4.934,4.8439
4.9099,4.9934,4.8803
4.9295,5.1173,4.8188
5.0681,5.1115,5.0336
5.0875,5.1807,5.0717
5.105,5.1833,5.0944
5.133,5.1984,5.1054
5.1584,5.1644,5.0296
5.0439,5.0451,4.9367
4.9852,4.9991,4.9204
4.9764,5.0774,4.923
5.0532,5.1129,5.0144
5.047,5.0745,4.9878
5.1047,5.1079,4.9043
4.967,4.968,4.8524
4.8972,4.9004,4.7697
4.7749,4.7995,4.7018
4.7562,4.8121,4.7164
4.7306,4.7497,4.6014
4.7177,4.9597,4.7023
4.8802,4.9068,4.8254
4.8285,4.8697,4.7286
4.8083,4.8476,4.7608
4.7758,4.8404,4.74
4.8021,4.8832,4.7408
4.8157,4.8283,4.7329
4.7723,4.816,4.7004
4.8138,4.911,4.8132
4.8656,4.9359,4.8083
4.9049,4.9221,4.8027
4.8142,4.8338,4.7638
4.8189,4.8511,4.7653
4.7743,4.809,4.7459
4.8114,4.8129,4.7459
4.7585,4.8058,4.7378
4.7441,4.8106,4.7371
4.7354,4.7778,4.6358
4.6467,4.7197,4.6084
4.6412,4.6814,4.6016
4.6385,4.6845,4.6193
4.6667,4.7071,4.5562
4.5678,4.6865,4.4473
4.4635,4.6537,4.4413
4.6176,4.7052,4.5862
4.694,4.8146,4.6588
4.734,4.7603,4.6834
4.71,4.7712,4.674
4.7273,4.8513,4.6767
4.8314,4.8828,4.8017
4.8577,4.9239,4.8193
4.843,5.0007,4.8292
4.9502,4.9767,4.8716
4.9102,5.0093,4.8686
4.9618,4.9841,4.8809
4.9721,5.0727,4.9191
4.9791,5.14,4.9582
5.1222,5.1829,5.0899
5.1505,5.1866,5.0118
5.0269,5.0925,4.9879
5.0312,5.0691,4.9434
4.9821,5.0707,4.9386
5.0276,5.0778,4.9786
5.0673,5.1824,5.0219
5.1339,5.1569,5.0239
5.0476,5.1747,4.992
5.0201,5.1698,5.0163
5.1127,5.1891,5.0983
5.1219,5.1891,5.0534
5.1446,5.1752,5.048
5.0626,5.0962,5.0116
5.0803,5.1018,5.0054
5.0299,5.1272,5.0218
5.0957,5.1881,5.0936
5.114,5.1909,5.1052
5.1155,5.1422,5.0433
5.1339,5.1996,5.081
5.0856,5.1199,5.0266
5.0476,5.1235,4.9993
5.029,5.1095,4.9984
5.0783,5.0979,4.9923
5.0333,5.1267,5.0226
5.0967,5.1741,5.033
5.0302,5.0869,4.984
4.9969,5.1087,4.9927
5.0743,5.1115,4.9888
5.0478,5.1242,5.0228
5.094,5.1419,5.0681
5.0697,5.1883,5.0543
5.1654,5.6375,5.1302
5.2318,5.2733,5.171
5.1756,5.2028,5.1156
5.1313,5.1793,5.0746
5.1444,5.2458,5.123
5.1783,5.2884,5.1685
5.2222,5.2614,5.0934
5.1586,5.2648,5.0812
5.1756,5.3035,5.166
5.271,5.2727,5.1783
5.2196,5.2667,5.197
5.2318,5.2568,5.1927
5.2245,5.2506,5.1071
5.1464,5.1543,5.0602
5.0618,5.1982,5.0561
5.1707,5.1899,5.1175
5.1114,5.1861,5.0969
5.1562,5.1651,5.092
5.1309,5.2029,5.1226
5.1348,5.1773,5.0099
4.9893,5.132,4.9888
5.0342,5.0522,4.9661
5.0569,5.0666,5.0035
5.0243,5.0895,5.0127
5.0378,5.1348,5.0355
5.0908,5.1024,5.0089
